"","x"
"DRAP1",5940.81631876335
"S100A8",5925.01159065405
"NDUFA11",5924.54841885652
"DDIT4",5916.63531539321
"PPP1R15A",5905.90643102575
"H1FX",5904.69936177183
"RAN",5902.52841497834
"CNN2",5898.92383874817
"ATPIF1",5896.65806927233
"NDUFB2",5894.62396969168
"TSTD1",5877.85082839773
"S100B",5870.9992894723
"JTB",5868.03066294952
"POLD4",5847.3811681542
"CAP1",5842.5769579843
"PRDX2",5818.07887442302
"SPCS1",5817.22043532907
"SNX3",5784.33447535528
"DUSP2",5774.10174908546
"BIN1",5760.14466027558
"RHOA",5753.19155433206
"BIN2",5749.19821169374
"SRSF7",5748.94634498811
"NDUFA13",5741.67034171639
"COX7A2",5730.73816484824
"CD44",5722.96174434001
"TRMT112",5702.5459517446
"S100A11",5691.89109940958
"SCAND1",5682.05343949181
"C4orf3",5678.66381663256
"BRK1",5673.90685119766
"RPL39",5671.57183227444
"H2AFZ",5660.88348145921
"GIMAP4",5659.98074273477
"PSMB1",5659.90773737984
"SNHG8",5658.21044097782
"UFC1",5648.15071778333
"GLRX",5641.2471997592
"RABAC1",5628.81657352531
"FKBP8",5623.73745320849
"TCL1A",5618.93542283955
"FLT3LG",5615.46398861252
"MORF4L1",5613.44987537045
"TMEM258",5604.12689702195
"SNRPB",5600.13872773823
"RSL1D1",5598.21227236325
"TMEM59",5596.78999978576
"MZT2A",5583.65638225085
"PGK1",5571.18389776603
"PSMB8",5569.58967599543
"PNISR",5566.88416933968
"KRT10",5557.72197221474
"HNRNPM",5555.41507969447
"DBI",5551.86589166351
"CSTB",5551.42348327901
"ATP5F1",5547.60161654777
"SEPW1",5541.81275591473
"ARL6IP5",5540.2356372041
"COX5A",5529.29786432705
"COX7A2L",5527.47273098176
"ACTR3",5495.91540495279
"RAC1",5490.17389535408
"MT.ND3",5489.00964862031
"U2AF1",5484.53209771064
"AIF1",5480.5129367361
"CCR7",5479.92414401809
"HSPB1",5479.73307853079
"ATP6V1F",5479.46038515893
"ATP5H",5468.30305714449
"NDFIP1",5465.79680178209
"C19orf60",5448.69092519063
"PRELID1",5446.06899776839
"PTGES3",5441.38119455976
"CD69",5436.06891478542
"PSMB10",5430.27375179194
"NDUFA1",5427.16246585362
"ARHGDIA",5425.29495152886
"PTPRC",5423.01036046228
"NDUFB10",5419.08293943321
"HNRNPC",5414.25035936732
"COX8A",5404.77175963284
"EIF3M",5403.66281289881
"UQCR10",5398.44379847004
"NHP2L1",5393.66079841485
"ALOX5AP",5393.1523885478
"DYNLL1",5393.11286727579
"VPS28",5390.60735558033
"TUBA1A",5378.69595824879
"C1QBP",5368.91925557969
"SEPT9",5366.83598877318
"TIMP1",5365.77343279999
"MAL",5360.38309766975
"RBM39",5355.7104859989
"FYB",5351.71212993495
"LSM7",5349.74416448396
"SON",5348.49520531351
"BST2",5347.51964825535
"DAD1",5344.62715449492
"ARF1",5342.05690302492
"RHOG",5340.90733242964
"STK17A",5340.54344187619
"WDR83OS",5331.5473577665
"ATP5B",5324.90536181849
"PSMB3",5320.42043894308
"C9orf142",5315.64781777334
"SYF2",5304.17571041907
"JAK1",5291.68824800003
"ANXA2",5289.40745579972
"SPON2",5285.27593787921
"OCIAD2",5277.69573213258
"C11orf58",5263.14101739589
"GZMH",5261.85939061537
"RWDD1",5250.62562423908
"ECH1",5246.46889749219
"GABARAPL2",5241.54614925813
"ALKBH7",5226.69001709655
"PPP1R18",5226.40875987465
"FIS1",5225.34953686685
"SEC62",5223.55026501277
"CORO1B",5213.28271602726
"RASGRP2",5212.45385796507
"SUB1",5200.32186107526
"PPA1",5196.99018696903
"SUN2",5175.90119542303
"PSMC5",5167.56699099894
"CMPK1",5166.2119256104
"AQP3",5151.23872112572
"SERBP1",5150.56439399583
"GADD45GIP1",5150.52868106595
"ATP5J2",5144.74016740775
"CSNK2B",5142.56396820002
"AURKAIP1",5142.45862427096
"ATP5J",5141.41788728772
"DYNLRB1",5125.03925630019
"XBP1",5123.54923402485
"LEF1",5123.10841234244
"PRDX5",5118.98648297227
"FKBP1A",5115.62934584211
"TMEM123",5111.16210103148
"TRADD",5105.56710796171
"LEPROTL1",5103.51596446887
"DAZAP2",5101.09323435865
"TBCB",5093.43056440855
"ANXA6",5086.47209178704
"TUBB",5080.80461738014
"TBCA",5080.48189267733
"SIGIRR",5075.4437570011
"PRKCQ.AS1",5069.47104600984
"PRMT2",5069.10241027654
"CCDC109B",5067.26079859777
"TMEM219",5064.66122145072
"ATP5I",5061.44799250154
"MPHOSPH8",5058.93476555355
"ISG15",5056.56899399608
"SRSF2",5056.53987194303
"ERGIC3",5052.05901002272
"C9orf78",5050.64296223511
"UQCRQ",5048.48143806442
"DDT",5047.88148991054
"CHCHD10",5045.06362436186
"PDIA3",5044.3094530402
"MRPS21",5042.60307585961
"TMEM230",5042.54331075109
"ATP5G3",5039.23180987598
"LAMTOR1",5032.46858801509
"UQCRB",5030.53854854414
"TUFM",5021.38248449642
"RHOH",5019.31217687515
"SEC61B",5007.57776938668
"CHMP4A",4996.18962713402
"TUBA4A",4986.37018943952
"AP2M1",4985.1574198653
"GHITM",4980.57937690693
"ZFP36L1",4975.62960469072
"KRTCAP2",4958.34330021816
"DOK2",4943.948435248
"NDUFA12",4940.21816023869
"GIMAP1",4936.62889303283
"MDH2",4936.02639747388
"NDUFB7",4933.60466270226
"NHP2",4933.24581809477
"ENSA",4923.55908297342
"MRPL23",4915.06422938892
"LSM4",4914.75206134731
"RALY",4914.61625525038
"SEP15",4913.62685951213
"HMHA1",4907.52437816216
"MYEOV2",4907.12438700016
"HNRNPA3",4897.71139041006
"PAIP2",4894.92979564174
"PA2G4",4888.08637948448
"EIF3I",4876.25196190855
"NDUFS7",4868.00493995524
"PSMB7",4865.91510403815
"CITED2",4862.54998690527
"BSG",4859.18096759826
"SSU72",4857.74001932567
"C14orf166",4856.59537445492
"PRDX6",4854.39298381874
"BCAP31",4845.13420178346
"DNAJB1",4844.12321155051
"HCLS1",4827.3557145931
"HMGB2",4826.22173270641
"ARF6",4825.58188471273
"RNH1",4822.75422465453
"HIST1H4C",4820.89423600175
"POLR2G",4817.28925838926
"CYCS",4816.45426514074
"PSAP",4805.46587484762
"MTDH",4796.25073850031
"ARL4C",4791.77725181677
"GNB2",4790.99218028627
"RANBP1",4787.84392633882
"SEC11A",4787.52738981964
"GNAS",4787.42048481785
"TRAPPC6A",4783.09187302153
"FCGR3A",4781.61407221769
"RPS19BP1",4777.72042555501
"ANXA11",4776.51111829215
"LBH",4753.88853796333
"NUCB2",4748.94290343909
"PYCARD",4747.39598425369
"YPEL3",4739.92720892391
"SSBP1",4730.77926078755
"C10orf54",4727.8263844534
"PRDX1",4727.55507336485
"ARPC4",4726.72664797461
"EIF2S2",4723.25637822548
"ARHGEF1",4721.61584718443
"FAM96B",4718.13650448455
"CDC37",4715.65269062601
"NDUFB4",4711.4710142201
"RBMX",4707.7802957748
"PHB2",4707.55849940096
"TECR",4707.28606523899
"HNRNPF",4706.40666384695
"SSNA1",4702.46291123394
"MINOS1",4700.39043108285
"TSC22D4",4699.78342067069
"PGLS",4698.82474031585
"ARF5",4698.18290017678
"DHRS7",4694.75992254985
"TRA2B",4690.32210027921
"LMAN2",4690.20357476452
"HSP90B1",4687.42519572131
"YWHAQ",4685.75199514635
"IGBP1",4683.63323571164
"ICAM2",4681.82083913368
"DCXR",4678.31885379448
"ZNF706",4673.67559055242
"HLA.F",4661.73727892346
"XRCC6",4657.69969760988
"AP2S1",4652.76935173923
"STUB1",4651.47939523287
"MT2A",4649.87078200604
"RAP1A",4646.07796958701
"SH3BGRL",4644.15238741747
"CTSS",4635.8740468489
"RGS19",4632.70976154768
"TMEM50A",4628.52998469562
"VDAC2",4627.7196188315
"ANAPC11",4625.5850764341
"ATP6V0B",4624.92213636969
"CCT3",4613.23473312292
"PSMB6",4612.11287418277
"POLR1D",4596.66994024803
"RBM8A",4594.73865890523
"CCT4",4593.51993886822
"ARHGAP15",4592.53487360458
"FAIM3",4588.70341805939
"LAMTOR5",4587.15608009976
"UBE2L6",4586.25008789995
"DUT",4576.95928021688
"UQCRFS1",4574.52251187707
"TMED9",4571.71886746209
"CD3G",4570.97501558866
"SIVA1",4569.07053879548
"NOP10",4568.16774605433
"LRRFIP1",4565.84504328582
"TAF7",4558.69978116378
"HMGN3",4556.08844574766
"CASP4",4553.91577477358
"RCSD1",4552.51934416475
"NDUFS8",4545.78466437343
"OXA1L",4544.81581403202
"GIMAP5",4542.72306509475
"UBE2I",4541.90944539527
"IMP3",4536.82182004709
"LCP1",4535.96106269779
"GADD45B",4535.93344749241
"HLA.DMA",4534.9256761192
"NDUFA3",4534.6988959804
"BLOC1S1",4527.45845076333
"ACP1",4526.99624758602
"FAM49B",4523.41241130206
"C19orf10",4517.2563796745
"SRP9",4516.92311260544
"SF3B2",4515.5396561885
"C1orf86",4512.29081591769
"SPOCK2",4506.21476296745
"PRMT1",4501.5841378001
"SPCS2",4497.48524082056
"TALDO1",4497.15750821536
"NDUFC2",4491.97406145145
"ATP5C1",4487.33455349307
"SIT1",4484.5187431176
"POLR2J",4483.89698333248
"SSB",4483.87404289197
"NSMCE1",4481.48404993139
"ABHD14B",4477.21112409145
"CHMP2A",4473.69333852374
"TMEM160",4472.49230777649
"DCTN3",4471.55624292572
"DPP7",4465.90637031238
"PPP1R2",4463.70455563791
"RAB7A",4461.26076600653
"MRPL34",4460.21880096074
"H2AFV",4459.67992505982
"EIF4G2",4457.29530740461
"SUMO1",4456.91071810304
"OSTF1",4449.43203623109
"KLRF1",4440.53278022139
"BAX",4434.90875490356
"TNFRSF14",4433.16958548895
"BANF1",4430.58315934541
"SNRPC",4429.90629150398
"ARRB2",4423.93722426796
"ABRACL",4420.17975252878
"NDUFAF3",4417.96737175171
"POLR3GL",4415.29282358093
"DNAJC8",4414.68553068452
"NCF1",4414.44503240842
"RNF126",4409.40030095803
"ZNHIT1",4405.26378404637
"GRK6",4404.63451971076
"RAP1B",4398.85983491543
"LYAR",4397.16316489776
"PCNP",4395.84184492341
"LINC00493",4395.56152331801
"SYTL1",4392.33331820846
"TOMM20",4388.39836630811
"C19orf70",4382.57151513402
"MRP63",4382.33464071775
"CDK2AP2",4382.23630183325
"GSDMD",4377.73841329665
"CALR",4376.41171517751
"ILF3.AS1",4374.09623486681
"TNFAIP8",4372.28857514845
"RNPS1",4372.28364301121
"PYURF",4370.53548419318
"ANKRD12",4368.66138162152
"COX14",4367.39024503344
"MRPS34",4366.55527323441
"GDI2",4363.03869450107
"CCNL1",4362.48145440618
"SRSF11",4359.53958140516
"SHISA5",4359.51370394264
"PIN1",4354.98470171081
"AIP",4354.69632770264
"VAMP5",4354.27044066818
"NME3",4352.86583605025
"BUD31",4350.76381654418
"MED10",4345.65269549837
"NSA2",4344.82343128224
"GNG5",4340.35989430364
"DGUOK",4338.38966446953
"METTL9",4337.90846973894
"EPC1",4337.84170113352
"PTPN6",4337.56220054152
"APEX1",4337.31045405137
"MAF1",4337.3012415923
"MRPL20",4333.71066272575
"SRSF9",4322.71087777147
"RPN2",4315.94258118658
"NDUFA2",4315.10449604693
"MRPL55",4310.62603812278
"SELK",4308.54103055993
"HSPA5",4307.1889372387
"POLR2E",4306.57705685716
"SNORD3B.2",4304.495907003
"MAP1LC3B",4302.79043325469
"ERH",4300.15422632704
"DBNL",4295.86198692677
"EIF4B",4294.26538805189
"PSMD8",4291.52790532028
"ETFB",4286.35979540324
"C12orf75",4285.773947345
"SCP2",4285.19981423499
"P4HB",4284.76907037753
"NOL7",4284.16354508649
"WDR1",4283.58043493828
"SERPINB1",4280.79171931409
"SKAP1",4279.39309628115
"CTSD",4275.60302860361
"SUPT4H1",4275.54291794031
"ATRAID",4274.95358719637
"IK",4272.01754154635
"HAX1",4269.79819845118
"EFHD2",4268.84449778491
"HNRNPU",4266.72165943898
"LSM2",4264.02524527446
"C16orf13",4263.91857182671
"FAM65B",4260.95582576687
"BUB3",4246.3164944243
"EMC4",4246.04443040766
"MIEN1",4228.73967151676
"CD164",4226.35863156881
