"","Gene","effect.size","p.value","q.value"
"ENSG00000157303.SUSD3","ENSG00000259034.DUX4L3",1.09914137428245,5.22259298899479e-05,0.00297568329291255
"ENSG00000135899.SP110","ENSG00000203691.AC092811.1",1.09892895904502,0.000181257739642234,0.00804129437827569
"ENSG00000163931.TKT","ENSG00000228876.AC010745.2",1.09884059187457,9.12935318987769e-05,0.00461273871455007
"ENSG00000078304.PPP2R5C","ENSG00000062582.MRPS24",1.09879249414586,6.72931329385785e-05,0.00363237081357312
"ENSG00000099860.GADD45B","ENSG00000254389.RHPN1.AS1",1.09866733032924,1.85045930743546e-05,0.00116053086421357
"ENSG00000110324.IL10RA","ENSG00000124766.SOX4",1.09797358365422,0.000232079494115498,0.00963406185691361
"ENSG00000153310.FAM49B","ENSG00000261166.RP11.775H9.3",1.09747361171112,1.3197889767625e-05,0.000842876220141181
"ENSG00000134186.PRPF38B","ENSG00000117400.MPL",1.09671943615415,9.91048076836519e-05,0.00490878500558088
"ENSG00000143870.PDIA6","ENSG00000268288.RP11.98D18.16",1.09655183014304,0.000212924819296052,0.00905449810835774
"ENSG00000164985.PSIP1","ENSG00000164116.GUCY1A3",1.09648429323852,0.000140748096495703,0.00654384816640688
"ENSG00000070081.NUCB2","ENSG00000013561.RNF14",1.09642982017368,2.20396217289008e-05,0.00136262696752973
"ENSG00000105329.TGFB1","ENSG00000235494.RP11.498P14.4",1.09559970393214,7.36145872344263e-05,0.003877553862333
"ENSG00000160654.CD3G","ENSG00000228772.RP1.309H15.2",1.09544133142903,3.32508491211271e-05,0.00197186583138385
"ENSG00000125458.NT5C","ENSG00000092964.DPYSL2",1.09529137395162,0.000183897425105516,0.00811709267522702
"ENSG00000021355.SERPINB1","ENSG00000184945.AQP12A",1.09518274982684,0.000105122456928924,0.00516284517339659
"ENSG00000113387.SUB1","ENSG00000163093.BBS5",1.09397976280905,9.15525716361088e-06,0.000613930417875214
"ENSG00000103187.COTL1","ENSG00000242013.USP27X",1.09265214562802,2.73848821222297e-07,2.42363157259429e-05
"ENSG00000013725.CD6","ENSG00000272085.RP11.542A14.2",1.09257672255359,0.000118461611707734,0.00565857041129958
"ENSG00000145833.DDX46","ENSG00000228618.AC012462.3",1.09231307023118,0.000194239883890665,0.00848765006424496
"ENSG00000158417.EIF5B","ENSG00000094975.SUCO",1.09211262355403,0.000118006811576816,0.00565233175780709
"ENSG00000217555.CKLF","ENSG00000176774.MAGEB18",1.09183482603953,0.00012985554494365,0.00613558652057597
"ENSG00000179218.CALR","ENSG00000122692.SMU1",1.09120147399207,7.11282580841822e-05,0.00380405269845926
"ENSG00000175130.MARCKSL1","ENSG00000162542.TMCO4",1.09084123600173,0.000242051559743753,0.00997675873317339
"ENSG00000134996.OSTF1","ENSG00000151729.SLC25A4",1.09083644971075,6.36560685780823e-05,0.00349007407439894
"ENSG00000107742.SPOCK2","ENSG00000127184.COX7C",1.09067406718101,9.76333200217441e-05,0.00485716128558161
"ENSG00000184007.PTP4A2","ENSG00000169991.IFFO2",1.08990942316676,0.000133787946663593,0.00627041088731116
"ENSG00000100612.DHRS7","ENSG00000122644.ARL4A",1.08977365167999,5.37048796678479e-05,0.00304007979548354
"ENSG00000169020.ATP5I","ENSG00000115317.HTRA2",1.08865632851619,1.62688847532309e-05,0.00103144729335484
"ENSG00000133574.GIMAP4","ENSG00000136514.RTP4",1.0882415095685,8.23025608119037e-06,0.000562258591023041
"ENSG00000198918.RPL39","ENSG00000197712.FAM114A1",1.08739545316406,6.31532340827547e-06,0.00044219945230234
"ENSG00000155368.DBI","ENSG00000224810.RP11.538D16.2",1.08705608224457,1.24932865897434e-05,0.000803765504399171
"ENSG00000163660.CCNL1","ENSG00000143947.RPS27A",1.08392353271773,0.000163470551125545,0.00742215900748406
"ENSG00000166598.HSP90B1","ENSG00000111880.RNGTT",1.08314056038157,0.00020793996171076,0.00890769835977174
"ENSG00000136167.LCP1","ENSG00000001036.FUCA2",1.08129076108604,0.000226616334862654,0.00949773028444801
"ENSG00000159388.BTG2","ENSG00000177301.KCNA2",1.07727772048062,3.67939791012017e-05,0.00215994284723721
"ENSG00000250479.CHCHD10","ENSG00000185736.ADARB2",1.07726543857037,0.000235045213111285,0.00973399831495309
"ENSG00000120129.DUSP1","ENSG00000171551.ECEL1",1.07719686682889,1.55066189011811e-06,0.000125165694695413
"ENSG00000167004.PDIA3","ENSG00000146701.MDH2",1.07609110230612,0.000182564251293943,0.00807869980027891
"ENSG00000237943.PRKCQ.AS1","ENSG00000145632.PLK2",1.07548444027564,0.000229939830321581,0.00959091134367646
"ENSG00000102007.PLP2","ENSG00000163132.MSX1",1.07330703155841,6.46460797445315e-05,0.00352220125108096
"ENSG00000188404.SELL","ENSG00000223675.RP11.86H7.6",1.0715477477138,3.41925418084936e-05,0.00201401002172664
"ENSG00000148908.RGS10","ENSG00000164399.IL3",1.06982784000135,7.82942424371642e-05,0.004050623492261
